cd,periodo,folio,entidad,control,viv_sel,num_hog,hog_mud,n_ren_ele,p1,p2,p3_1,p3_2,p3_3,p3_4,p3_5,p4,p5,p5_6esp,p6_1,p6_2,p6_3,p6_4,p6_5,p6_6,p6_6esp,p7,p7_3,p8_1,p8_2,p9,p9_5esp,p10,p11,p11_6esp,p12_1,p12_2,p12_3,p12_4,p12_5,p12_6,p12_7,p12_8,p12_9,p12_9esp,p13,p13_3,p14_1,p14_2,p15,p15_5esp,p16,p17,p17_6esp,p18_1,p18_2,p18_3,p18_4,p18_5,p19,p19_3,p20_1,p20_2,p21,p21_5esp,p22,p23_1,p23_2,p24,p25,p25_6esp,p26,p27,p28,p28_7esp,p29,p30,p31,p32,p32_6esp,p33_1,p33_2,p33_3,p33_4,p34_1,p34_2,p34_3,p34_3_1,p34_4,p34_4_1,p35,p36_1,p36_2,p36_3,p36_4,factor,h_lec,mat_lec,perslec,l_formato,r_formato,p_formato,persleclrp,edad,sexo,anio,nivel,cond_activ
09,0219,12B174,08,40291,1,1,0,01,1,1,1,2,2,2,1,2,4, ,2,2,2,2,1,2, ,2,0,2,1,1, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,1,4, ,20,2,0, ,2,3,1,0, ,2,2,2,2,1,1,2,0,2,0,1,1,1,1,1,7057,1,2,1,2, , ,1,40,1,2,7,01
09,0219,12B174,08,40291,2,1,0,02,1,2,2,1,1,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,1,4, ,2,2,2,2,2,2,2,1,2, ,3,35,2,1,1, ,1,4, ,2,2,1,1,1,2,0,2,1,1, ,0,0,0,0,0, ,10,2,0, ,3,1,2,0, ,2,2,2,2,1,1,2,0,1,1,1,1,1,1,1,15433,3,3,1, ,2,2,1,24,2,3,4,01
09,0219,11A171,08,40362,4,1,0,01,1,1,2,2,1,2,1,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,7,4, ,1,2,1,1,1,3,120,2,1,1, ,0,0,0,1,4, ,30,2,0, ,2,4,2,0, ,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,22900,1,3,1, , ,2,1,23,2,3,3,07
09,0219,11A171,08,40362,2,1,0,02,1,2,1,2,2,2,2,1,3, ,2,2,1,2,2,2, ,2,0,2,1,1, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,20,2,0, ,2,4,2,0, ,2,2,2,2,2,2,2,0,2,0,1,2,1,1,2,12720,3,1,1,2, , ,1,44,2,3,3,01
09,0219,11A171,08,40362,3,1,0,01,1,2,2,2,2,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0,0, ,0,0,0,3, ,2,2,2,2,2,2,2,0,2,0,1,1,1,1,1,19000,4,4,2, , , ,2,51,2,3,3,07
09,0219,11A171,08,40362,1,1,1,02,1,2,2,2,2,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0,0, ,0,0,0,1, ,2,2,2,2,2,2,2,0,2,0,1,2,2,2,2,25441,4,4,2, , , ,2,40,2,6,2,01
09,0219,11B175,08,40420,4,1,0,03,1,1,1,2,2,1,1,1,4, ,2,2,2,1,2,2, ,3,100,2,1,1, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,4,2,1,4,3, ,30,2,0, ,2,4,2,0, ,1,2,2,1,2,1,2,0,1,2,1,2,1,1,1,45263,1,2,1,2, , ,1,29,1,3,3,01
09,0219,11B175,08,40420,2,1,0,02,1,2,2,2,1,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,1,4, ,2,2,2,2,1,3,10,2,1,1, ,0,0,0,0,0, ,10,2,0, ,2,2,2,0, ,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,24586,3,3,1, , ,2,1,24,1,1,4,01
09,0219,11B175,08,40420,1,1,0,01,1,1,2,1,2,2,2,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,1,4, ,2,2,2,2,2,2,2,1,2, ,2,0,2,1,1, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,30,2,0, ,1,2,2,0, ,2,1,2,2,2,2,2,0,2,0,1,2,1,2,2,8138,1,3,1, ,2, ,1,64,2,6,2,01
09,0219,11B175,08,40420,3,1,0,01,2,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0,0, ,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8138, , , , , , , ,63,2,1,2,01
