folio,entidad,control,viv_sel,num_hog,hog_mud,n_ren_el,cd,periodo,sexo,edad,nivel,anio,cond_act,p1,p2,p3_1,p3_2,p3_3,p3_4,p3_5,p4,p5,p5_6esp,p6_1,p6_2,p6_3,p6_4,p6_5,p6_6,p6_6esp,p7,p7_3,p8_1,p8_2,p9,p9_5esp,p10,p11,p11_6esp,p12_1,p12_2,p12_3,p12_4,p12_5,p12_6,p12_7,p12_8,p12_9,p12_9esp,p13,p13_3,p14_1,p14_2,p15,p15_5esp,p16,p17,p17_6esp,p18_1,p18_2,p18_3,p18_4,p18_5,p19,p19_3,p20_1,p20_2,p21,p21_5esp,p22,p23_1,p23_2,p24,p25,p25_6esp,p26,p27,p28,p28_7esp,p29,p30,p31,p32,p32_6esp,p33_1,p33_2,p33_3,p33_4,p34_1,p34_2,p34_3,p34_3_1,p34_4,p34_4_1,p35,p36_1,p36_2,p36_3,p36_4,factor,h_lec,mat_lec,perslec,l_format,r_format,p_format,perslecl
"11A227","28","40059","3","1","0","02","10","0224","2","35","03","3","07",1,1,1,2,2,2,2,5,6,"PARA AYUDAR A SUS HIJOS EN LA ESCUELA",2,1,2,2,2,2,"",2,0,2,1,1,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",30,2,0,"",2,2,2,0,"",2,2,2,2,2,1,1,1,2,0,1,2,2,1,1,17487,"1","1","1","2","0","0","1"
"13A227","28","40154","2","1","0","04","10","0224","1","21","07","2","04",1,2,1,1,2,1,1,1,4,"",2,2,2,1,2,2,"",1,0,1,2,1,"",1,4,"",2,2,2,2,2,2,2,1,2,"",1,0,1,2,1,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",3,1,2,1,3,"",30,2,0,"",2,4,1,0,"",2,2,2,2,1,2,2,0,1,1,1,1,1,1,1,60896,"3","2","1","1","1","0","1"
"13A227","28","40154","1","1","0","02","10","0224","2","36","04","3","07",1,2,2,2,2,2,1,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,5,3,"",30,2,0,"",2,2,2,0,"",2,2,2,2,2,1,2,0,1,1,1,1,1,1,1,24359,"3","3","1","0","0","0","2"
"13A227","28","40154","4","1","0","01","10","0224","1","41","04","3","01",1,2,2,2,2,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,"",0,0,0,3,"",2,2,2,2,2,1,2,0,1,1,1,1,1,1,1,36538,"4","4","2","0","0","0","2"
"11A228","28","40185","4","1","0","03","10","0224","2","21","04","3","07",1,2,2,2,2,2,1,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,1,3,"",30,2,0,"",3,4,2,0,"",2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,27967,"3","3","1","0","0","0","2"
"11A228","28","40185","1","1","0","01","10","0224","2","64","00"," ","07",1,2,2,2,2,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,"",0,0,0,3,"",2,2,2,2,2,2,2,0,2,0,1,2,2,1,2,9323,"4","4","2","0","0","0","2"
"11A228","28","40185","3","1","0","01","10","0224","1","24","04","3","01",1,2,2,2,2,2,1,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,2,3,"",35,2,0,"",2,2,2,0,"",2,2,2,2,2,2,2,0,2,0,1,1,1,1,1,18644,"3","3","1","0","0","0","2"
"11A228","28","40185","2","1","0","02","10","0224","1","20","07","1","06",1,1,1,2,2,2,1,2,6,"SU PAPA LO MOTIVO",2,2,1,2,2,2,"",2,0,2,1,1,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,2,3,"",60,1,7,"COSAS DEL HOGAR",2,4,2,0,"",2,1,2,2,2,1,1,2,2,0,1,1,1,1,1,27967,"1","2","1","2","0","0","1"
"11B214","28","40190","2","1","0","02","10","0224","1","25","04","3","01",1,2,2,2,2,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,"",0,0,0,1,"",2,2,2,2,2,2,2,0,2,0,1,1,1,1,2,24835,"4","4","2","0","0","0","2"
"11B214","28","40190","3","1","0","02","10","0224","2","34","03","3","01",1,2,2,2,2,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,"",0,0,0,1,"",2,2,2,2,2,2,2,0,2,0,1,1,1,1,1,24835,"4","4","2","0","0","0","2"
"11B214","28","40190","1","1","0","03","10","0224","1","24","03","3","02",1,2,2,2,2,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,"",0,0,0,3,"",2,2,2,2,2,2,2,0,2,0,1,1,1,2,2,24835,"4","4","2","0","0","0","2"
"12B222","28","40250","2","1","0","02","10","0224","1","44","04","3","01",1,2,2,2,2,2,1,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,3,1,"",60,2,0,"",4,4,2,0,"",2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,14220,"3","3","1","0","0","0","2"
"12B222","28","40250","3","1","0","02","10","0224","2","38","04","3","07",1,1,2,2,2,2,1,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,2,4,"",60,2,0,"",2,3,2,0,"",2,2,2,2,3,3,3,0,3,0,1,2,2,2,2,14220,"1","3","1","0","0","0","2"
"12B222","28","40250","1","1","0","02","10","0224","2","47","04","3","07",1,1,1,1,2,2,1,2,3,"",2,2,1,2,2,2,"",3,1700,2,1,1,"",2,4,"",2,2,2,2,1,2,1,2,2,"",1,0,1,2,1,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,5,3,"",30,2,0,"",3,3,1,0,"",1,2,2,1,2,1,2,0,1,2,1,2,1,2,2,21330,"1","2","1","2","1","0","1"
"12B222","28","40250","4","1","0","01","10","0224","2","55","07","4","01",1,2,2,2,2,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,"",0,0,0,3,"",2,2,2,2,2,1,2,0,1,2,1,3,3,1,1,7110,"4","4","2","0","0","0","2"
"13B214","28","40254","4","1","0","01","10","0224","1","60","07","4","01",1,2,2,2,2,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,"",0,0,0,3,"",2,2,2,2,2,1,2,0,1,3,1,1,1,1,2,20634,"4","4","2","0","0","0","2"
